resturant,address,rate,rate_count,food,avg_price_for_two,rate_ratio,sector,fod,continental,italian,chicken,desserts,north indian,asian,japanese,fast food,sandwich,bbq,south indian,street food,bakery,cafe,seafood,european,pizza,burger,chinese,ice cream,wraps,biryani,momos,mexican,american,rajasthani,image
Glasshouse - DoubleTree by Hilton,"DoubleTree by Hilton, Gurgaon",3.9,369.0,"european,north indian,asian,continental",3000.0,37.9354715273186,DoubleTree by Hilton,"continental,north indian,asian,continental",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/19067240/e10272c8232abafb4dfb1f455d336dcc_featured_v2.jpg
Papa's Tapas,"Sector 56, Gurgaon",4.4,17.0,"north indian,mediterranean,mexican,pasta,fast food",400.0,8.648699324175862,Sector 56,"north indian,european,mexican,italian,fast food",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/19539403/7120a7dd8f007e378c436463af5061f6_featured_v2.jpg
Sagar Ratna,"Sector 69, Gurgaon",4.2,127.0,"north indian,south indian,beverages",1100.0,23.095454098155333,Sector 69,"north indian,south indian,cafe",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/7/18416827/66e679827c23ac5253cb39e3a0f04ad8_featured_v2.jpg
Pinxx - Regenta Suites,"Sector 49, Gurgaon",3.6,18.0,"asian,north indian,continental,desserts,beverages",1400.0,8.049844718999243,Sector 49,"asian,north indian,continental,desserts,cafe",1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/18863320/f2708e09ed0f1105a2fad1954b368b5e_featured_v2.jpg
Kogai - Fine Japanese Dining,"Plaza Mall, MG Road, Gurgaon",4.5,652.0,"japanese,sushi,salad",2000.0,54.16641025580336,Plaza Mall,"japanese,japanese",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/4/18671714/ddb7786171eab5fb146927cfcbbf6470_featured_v2.jpg
Fork Full,"New Palam Vihar, Gurgaon",3.9,17.0,"chinese,pasta,fast food",400.0,8.142481194328912,New Palam Vihar,"chinese,italian,fast food",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/19067240/e10272c8232abafb4dfb1f455d336dcc_featured_v2.jpg
Asian Aisle,"Sushant Lok, Gurgaon",3.8,17.0,"asian,chinese",550.0,8.037412518964047,Sushant Lok,"asian,chinese",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/9/19654139/5380755862a490e9da21c185b7aa18a6_featured_v2.jpg
Cheeni Singh,"Manesar, Gurgaon",3.7,6.0,"chinese,north indian,mughlai",400.0,4.711687595755899,Manesar,"chinese,north indian,chicken",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/6/20293756/b89a070343ddeaaacba6c07b40f95b62_featured_v2.jpg
Pōṣā - All Things Indian,Sector 15,4.3,104.0,"north indian,mughlai",1200.0,21.147103820618085,Sector 15,"north indian,chicken",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/18896450/95daba7faed7cdb54376525998c034a8_featured_v2.jpg
Cantonese Aroma,"Baani Square, Sector 50, Gurgaon",3.9,113.0,"chinese,asian,salad,seafood,desserts,beverages",1300.0,20.99285592767216,Sector 50,"chinese,asian,seafood,desserts,cafe",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/20605913/2a6c9057260b2ef2a974a6d8e06d3ff5_featured_v2.jpg
Prince Dhaba,"Sector 90, Gurgaon",3.6,18.0,north indian,500.0,8.049844718999243,Sector 90,north indian,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/7/18254537/8b0b3f07b8707fac2c7836e496362bb4_featured_v2.jpg
Town Hall,"DLF Horizon Center, Gurgaon",4.4,507.0,"japanese,thai,italian,asian,pizza,european",2500.0,47.23134552392087,DLF Phase Phase,"japanese,asian,italian,asian,pizza,continental",0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/5/19320335/1d403dab649727f31cb5069670546642_featured_v2.jpg
Kulinary Kala,"South City 2, Gurgaon",4.3,24.0,"north indian,kebab,mughlai,fast food,street food,shake,beverages",550.0,10.158740079360236,South City 2,"north indian,chicken,chicken,fast food,street food,cafe,cafe",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/20756278/7c8f86372e9f97174867134e8677c898_featured_v2.jpg
Peng You Quan - Friends Restaurants,"South Point Mall, Golf Course Road, Gurgaon",4.1,75.0,chinese,1900.0,17.53567791675018,Golf Course Road,chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/3/20605913/2a6c9057260b2ef2a974a6d8e06d3ff5_featured_v2.jpg
Pathan,"DLF Phase 4, Gurgaon",4.2,47.0,"north indian,kebab,mughlai,rolls,desserts,beverages",1000.0,14.049911031746785,DLF Phase Phase,"north indian,chicken,chicken,wraps,desserts,cafe",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/0/19067240/e10272c8232abafb4dfb1f455d336dcc_featured_v2.jpg
Kutumb,"SS Plaza, Gurgaon",4.0,535.0,"north indian,chinese,desserts,beverages",1200.0,46.26013402488151,SS Plaza,"north indian,chinese,desserts,cafe",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/18291198/61400b1cd420a594db38a5f3c3bf9813_featured_v2.jpg
Biryani Blues,"Supermart 1, DLF Phase 4, Gurgaon",4.0,2330.0,"biryani,kebab,desserts",900.0,96.54014708917737,DLF Phase Phase,"biryani,chicken,desserts",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/19046158/eac9378e3b7b4ea4edf10d0bf4fd7e80_featured_v2.jpg
Culina 44 - Taj City Centre Gurugram,"Taj City Centre Gurugram, Sector 44, Gurgaon",4.0,539.0,"north indian,asian,thai,continental",4000.0,46.4327470649756,Sector 44,"north indian,asian,asian,continental",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://b.zmtcdn.com/data/pictures/8/7528/efe9ac1e3a18380f93fa2f3265ce086f_featured_v2.jpg
